City,level_1,pollutants,avg_aqi_2022_2025,Good,Moderate,Poor,Satisfactory,Severe,Very Poor,population,per_capita_income,category,0
Hyderabad,top4_pollutant,O3 (152),81.01244444444444,82,222,0,821,0,0,11337852,454105,Tier 1,O3 (152)
Hyderabad,top5_pollutant,NO2 (119),81.01244444444444,82,222,0,821,0,0,11337852,454105,Tier 1,NO2 (119)
Indore,top1_pollutant,PM10 (850),97.64118705035972,105,394,32,581,0,0,3482832,142565,Tier 2,PM10 (850)
Indore,top2_pollutant,PM2.5 (378),97.64118705035972,105,394,32,581,0,0,3482832,142565,Tier 2,PM2.5 (378)
Indore,top3_pollutant,SO2 (112),97.64118705035972,105,394,32,581,0,0,3482832,142565,Tier 2,SO2 (112)
Indore,top4_pollutant,NO2 (90),97.64118705035972,105,394,32,581,0,0,3482832,142565,Tier 2,NO2 (90)
Indore,top5_pollutant,CO (82),97.64118705035972,105,394,32,581,0,0,3482832,142565,Tier 2,CO (82)
Jaipur,top1_pollutant,PM10 (825),131.37511111111112,57,638,123,300,0,7,4411107,150000,Tier 2,PM10 (825)
Jaipur,top2_pollutant,PM2.5 (550),131.37511111111112,57,638,123,300,0,7,4411107,150000,Tier 2,PM2.5 (550)
Jaipur,top3_pollutant,O3 (330),131.37511111111112,57,638,123,300,0,7,4411107,150000,Tier 2,O3 (330)
Jaipur,top4_pollutant,CO (76),131.37511111111112,57,638,123,300,0,7,4411107,150000,Tier 2,CO (76)
Jaipur,top5_pollutant,NO2 (46),131.37511111111112,57,638,123,300,0,7,4411107,150000,Tier 2,NO2 (46)
Kanpur,top1_pollutant,PM10 (783),111.61422222222222,113,519,72,416,0,5,3345367,104126,Tier 2,PM10 (783)
Kanpur,top2_pollutant,PM2.5 (639),111.61422222222222,113,519,72,416,0,5,3345367,104126,Tier 2,PM2.5 (639)
Kanpur,top3_pollutant,O3 (209),111.61422222222222,113,519,72,416,0,5,3345367,104126,Tier 2,O3 (209)
Kanpur,top4_pollutant,CO (195),111.61422222222222,113,519,72,416,0,5,3345367,104126,Tier 2,CO (195)
Kanpur,top5_pollutant,NO2 (41),111.61422222222222,113,519,72,416,0,5,3345367,104126,Tier 2,NO2 (41)
Kochi,top1_pollutant,PM2.5 (251),99.97543859649124,40,188,27,315,0,0,3604550,281001,Tier 2,PM2.5 (251)
Kochi,top2_pollutant,PM10 (177),99.97543859649124,40,188,27,315,0,0,3604550,281001,Tier 2,PM10 (177)
Kochi,top3_pollutant,CO (134),99.97543859649124,40,188,27,315,0,0,3604550,281001,Tier 2,CO (134)
Kochi,top4_pollutant,SO2 (7),99.97543859649124,40,188,27,315,0,0,3604550,281001,Tier 2,SO2 (7)
Kochi,top5_pollutant,NO2 (1),99.97543859649124,40,188,27,315,0,0,3604550,281001,Tier 2,NO2 (1)
Kolkata,top1_pollutant,PM10 (732),102.02844444444445,286,286,129,418,0,6,15845219,154000,Tier 1,PM10 (732)
